Date: 3/27/2000  Time: 19:04						
LGOROWLENGTH 12						
ORIGINATOR "ColorChecker24 - Before November2014 edition"					
MANUFACTURER "X-Rite - http://www.xrite.com"						
NUMBER_OF_FIELDS 4						
BEGIN_DATA_FORMAT						
SAMPLE_NAME Lab_L   Lab_a   Lab_b						
END_DATA_FORMAT						
NUMBER_OF_SETS 24						
BEGIN_DATA						
A1	37.986	13.555	14.059
A2	62.661	36.067	57.096
A3	28.778	14.179	-50.297
A4	96.539	-0.425	1.186
B1	65.711	18.13	17.81
B2	40.02	10.41	-45.964
B3	55.261	-38.342	31.37
B4	81.257	-0.638	-0.335
C1	49.927	-4.88	-21.905
C2	51.124	48.239	16.248
C3	42.101	53.378	28.19
C4	66.766	-0.734	-0.504
D1	43.139	-13.095	21.905
D2	30.325	22.976	-21.587
D3	81.733	4.039	79.819
D4	50.867	-0.153	-0.27
E1	55.112	8.844	-25.399
E2	72.532	-23.709	57.255
E3	51.935	49.986	-14.574
E4	35.656	-0.421	-1.231
F1	70.719	-33.397	-0.199
F2	71.941	19.363	67.857
F3	51.038	-28.631	-28.638
F4	20.461	-0.079	-0.973
END_DATA						
